date,stock_code,direction,score,events,industries,confidence,reasons
2026-07-10,2880.TW,BUY,4.0,戰爭升溫 | 升息,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心100%, 即時）"
2026-07-10,2881.TW,BUY,4.0,戰爭升溫 | 升息,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心100%, 即時）"
2026-07-10,2882.TW,BUY,4.0,戰爭升溫 | 升息,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心100%, 即時）"
2026-07-10,2884.TW,BUY,4.0,戰爭升溫 | 升息,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心100%, 即時）"
2026-07-10,2886.TW,BUY,4.0,戰爭升溫 | 升息,金融,1.0,"戰爭升溫 → 金融（中強度利多, 信心100%, 即時） / 升息 → 金融（中強度利多, 信心100%, 即時）"
2026-07-10,2382.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-10,2356.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-10,2308.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-10,3017.TW,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-10,6669.TWO,BUY,3.0,AI熱潮,AI伺服器,1.0,"AI熱潮 → AI伺服器（高強度利多, 信心100%, 即時）"
2026-07-10,6505.TW,BUY,3.0,戰爭升溫,油電燃氣,1.0,"戰爭升溫 → 油電燃氣（高強度利多, 信心100%, 即時）"
2026-07-10,8917.TW,BUY,3.0,戰爭升溫,油電燃氣,1.0,"戰爭升溫 → 油電燃氣（高強度利多, 信心100%, 即時）"
2026-07-10,2603.TW,SELL,-3.0,戰爭升溫,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-10,2609.TW,SELL,-3.0,戰爭升溫,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-10,2615.TW,SELL,-3.0,戰爭升溫,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-10,2618.TW,SELL,-3.0,戰爭升溫,交通運輸及航運,1.0,"戰爭升溫 → 交通運輸及航運（高強度利空, 信心100%, 即時）"
2026-07-10,2901.TW,SELL,-3.0,戰爭升溫,休閒娛樂,1.0,"戰爭升溫 → 休閒娛樂（高強度利空, 信心100%, 即時）"
2026-07-10,9941.TW,SELL,-3.0,戰爭升溫,休閒娛樂,1.0,"戰爭升溫 → 休閒娛樂（高強度利空, 信心100%, 即時）"
2026-07-10,2515.TW,SELL,-3.0,升息,建材營造,1.0,"升息 → 建材營造（高強度利空, 信心100%, 即時）"
2026-07-10,5534.TW,SELL,-3.0,升息,建材營造,1.0,"升息 → 建材營造（高強度利空, 信心100%, 即時）"
2026-07-10,2504.TW,SELL,-3.0,升息,建材營造,1.0,"升息 → 建材營造（高強度利空, 信心100%, 即時）"
2026-07-10,2330.TW,SELL,-2.67,AI熱潮 | 景氣轉弱 | 升息 | 關稅/貿易戰,半導體,0.93,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心70%, 中期）"
2026-07-10,2454.TW,SELL,-2.67,AI熱潮 | 景氣轉弱 | 升息 | 關稅/貿易戰,半導體,0.93,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心70%, 中期）"
2026-07-10,2303.TW,SELL,-2.67,AI熱潮 | 景氣轉弱 | 升息 | 關稅/貿易戰,半導體,0.93,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心70%, 中期）"
2026-07-10,2344.TW,SELL,-2.67,AI熱潮 | 景氣轉弱 | 升息 | 關稅/貿易戰,半導體,0.93,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心70%, 中期）"
2026-07-10,3711.TW,SELL,-2.67,AI熱潮 | 景氣轉弱 | 升息 | 關稅/貿易戰,半導體,0.93,"AI熱潮 → 半導體（高強度利多, 信心100%, 即時） / 景氣轉弱 → 半導體（中強度利空, 信心100%, 中期） / 升息 → 半導體（高強度利空, 信心100%, 即時） / 關稅/貿易戰 → 半導體（高強度利空, 信心70%, 中期）"
2026-07-10,3576.TWO,NEUTRAL,1.78,政策補助,綠能,0.7,"政策補助 → 綠能（高強度利多, 信心70%, 短期）"
